0.0,0.0
-0.09509999999999999,-0.7925
-0.41209999999999997,-1.3948
-0.5388999999999999,-1.9654
-0.19019999999999998,-2.1873
0.0,-2.9480999999999997
0.0,-3.7723
1.1729,-3.6772
1.4582,-3.9308
1.9337,-4.1209999999999996
2.2507,-3.9625
3.3285,-4.3111999999999995
3.3602,-4.9135
4.1844,-4.9135
4.6282,-5.9913
5.4207,-6.3717
5.4524,-7.4495
5.7694,-8.083499999999999
6.9422999999999995,-8.9394
7.2593,-8.2103
7.4495,-6.9106
7.5763,-6.4033999999999995
8.1786,-5.2305
9.478299999999999,-3.804
7.608,-2.0922
10.2391,0.4755
10.6195,1.3314
11.6973,0.6974
12.5849,-0.9193
13.0604,-0.6023
14.962399999999999,0.4755
14.106499999999999,1.902
13.948,3.2334
14.9307,4.3111999999999995
15.4696,4.5014
15.4696,4.0893
17.8154,3.1383
